CampaignID,CampaignName,StartDate,EndDate,Channel,TargetAudience,Budget,Spend,Impressions,Clicks,CTR,Conversions,ConversionRate,CostPerConversion,LandingPageURL,AdContent,TargetKeywords,UTM_Source,UTM_Medium,UTM_Campaign,Notes,ProductID
SPRING25,Spring Cookie Promotion,2025-03-15,2025-04-15,Facebook Ads,"Women 25-55, interested in baking and desserts, Oakland CA",500.00,385.50,15000,750,0.050,65,0.087,5.93,https://sweetreatsbakery.com/spring-sale,"Image ad: Colorful cookies with spring theme. Text: Spring into sweetness!",cookies oakland,facebook,cpc,spring_sale,Targeting local audience with seasonal theme,PROD001;PROD002;PROD004;PROD005;PROD006;PROD007;PROD008;PROD009;PROD011;PROD012;PROD013;PROD014;PROD016;PROD017;PROD021;PROD022;PROD023;PROD025
EMAIL0325,March Newsletter - New Brownies,2025-03-25,2025-03-28,Email Marketing,"All subscribers",100.00,45.20,8000,1200,0.150,90,0.075,0.50,https://sweetreatsbakery.com/new-brownies,"Subject: Indulge in our NEW Fudgy Brownies!",new brownies,newsletter,email,march_launch,Promoting new product to existing customers,PROD003;PROD010;PROD015;PROD018;PROD020;PROD024
GOOGLEADS01,Brownies - Oakland Search,2025-03-20,2025-04-05,Google Ads,"People searching for 'brownies near me' in Oakland",300.00,210.75,8000,600,0.075,40,0.067,5.27,https://sweetreatsbakery.com/brownies,"Headline: Best Brownies in Oakland. Description: Freshly Baked & Delicious.",brownies oakland,google,cpc,oakland_brownies,Local search campaign for key product,PROD003;PROD010;PROD015;PROD018;PROD020;PROD024
INSTA-REELS01,Cookie Baking Reel Promotion,2025-03-27,2025-03-31,Instagram Reels Ads,"Followers and lookalike audience interested in baking",200.00,112.90,20000,1500,0.075,110,0.073,1.03,https://sweetreatsbakery.com/cookies,"Short video showcasing cookie baking process. Text overlay: Shop our fresh cookies!",homemade cookies,instagram,reels_ad,baking_reel_promo,Engaging visual content to drive sales,PROD001;PROD002;PROD004;PROD005;PROD006;PROD007;PROD008;PROD009;PROD011;PROD012;PROD013;PROD014;PROD016;PROD017;PROD021;PROD022;PROD023;PROD025
SM-FB-ENGAGE,Facebook Engagement Posts (March),2025-03-01,2025-03-31,Facebook Organic,"All followers",50.00,15.80,25000,1800,0.072,N/A,N/A,N/A,https://facebook.com/SweetTreatsBakery,"Varied content: questions, polls, behind-the-scenes",bakery engagement,facebook,organic,march_engage,Building community and brand awareness,PROD001;PROD002;PROD003;PROD004;PROD005;PROD006;PROD007;PROD008;PROD009;PROD010;PROD011;PROD012;PROD013;PROD014;PROD015;PROD016;PROD017;PROD018;PROD019;PROD020;PROD021;PROD022;PROD023;PROD024;PROD025
LOCALPARTNER01,Oakland Food Festival Sponsorship,2025-03-22,2025-03-23,Event Sponsorship,"Attendees of Oakland Food Festival",500.00,500.00,5000,200,0.040,30,0.150,16.67,N/A,"Booth setup with cookie samples and flyers",local food,event,sponsorship,food_festival_mar,Direct interaction and brand visibility at local event,PROD001;PROD002;PROD004;PROD005;PROD006;PROD007;PROD008;PROD009;PROD011;PROD012;PROD013;PROD014;PROD016;PROD017;PROD021;PROD022;PROD023;PROD025;PROD003;PROD010;PROD015;PROD018;PROD020;PROD024;PROD019
TWITTER-PROMO1,Oatmeal Raisin Tweet Campaign,2025-03-25,2025-03-28,Twitter Ads,"Users interested in healthy snacks and baked goods",150.00,88.40,10000,400,0.040,25,0.063,3.54,https://sweetreatsbakery.com/oatmeal-raisin,"Tweet: Our delicious oatmeal raisin cookies! Order online now!",healthy cookies,twitter,cpc,oatmeal_promo,Targeting specific product interest,PROD002;PROD016
INSTA-STORY02,Sugar Cookie Flash Sale Story,2025-03-28,2025-03-28,Instagram Stories Ads,"Followers",100.00,62.15,12000,900,0.075,70,0.078,0.89,https://sweetreatsbakery.com/sugar-cookies,"Story ad: Animated text with sugar cookie image. Text: Flash Sale - Sugar Cookies!",sugar cookies sale,instagram,story_ad,sugar_flash_mar,Time-sensitive promotion via stories,PROD004;PROD011
RETARGET-FB01,Website Visitor Retargeting (Cookies),2025-03-10,2025-04-10,Facebook Ads Retargeting,"Website visitors who viewed cookie pages",250.00,180.90,8000,500,0.063,45,0.090,4.02,https://sweetreatsbakery.com/cookies,"Image ad: Cookies they viewed on our site. Text: Still thinking about those cookies?",retargeting cookies,facebook,retargeting,website_visitors_cookies,Re-engaging interested users,PROD001;PROD002;PROD004;PROD005;PROD006;PROD007;PROD008;PROD009;PROD011;PROD012;PROD013;PROD014;PROD016;PROD017;PROD021;PROD022;PROD023;PROD025
EMAIL0310,Welcome Email Series,2025-03-10,Ongoing,Email Marketing,"New subscribers",50.00,10.50,500,200,0.400,30,0.150,0.35,https://sweetreatsbakery.com/welcome,"Series of 3 emails introducing our bakery and products",welcome email,email,automated,new_subscriber_flow,Nurturing new leads,PROD001;PROD002;PROD003;PROD004;PROD005;PROD006;PROD007;PROD008;PROD009;PROD010;PROD011;PROD012;PROD013;PROD014;PROD015;PROD016;PROD017;PROD018;PROD019;PROD020;PROD021;PROD022;PROD023;PROD024;PROD025
