State,Custom Data Gathering,Surveys & Interviews,Web Scraping,Sensor Data Acquisition,Image Annotation,Text Annotation,Audio Annotation,Video Annotation,Total Revenue
California,35,28,22,30,40,38,25,32,250
New York,25,20,18,22,30,28,18,24,185
Texas,18,15,14,18,22,20,12,16,135
Washington,12,10,9,14,16,15,8,10,94
Illinois,8,7,6,10,12,11,6,8,68
Massachusetts,6,5,4,8,9,8,4,6,50
Florida,2,1.5,1,3,3.5,3,1.5,2,17
Pennsylvania,1.8,1.3,0.9,2.8,3.2,2.8,1.3,1.8,15.9
New Jersey,1.5,1.1,0.8,2.5,2.8,2.5,1.1,1.5,13.8
Georgia,1.2,0.9,0.7,2.2,2.5,2.2,0.9,1.2,11.8
North Carolina,1,0.8,0.6,2,2.3,2,0.8,1,10.5
Michigan,0.8,0.6,0.5,1.8,2.1,1.8,0.6,0.8,9
Virginia,0.7,0.5,0.4,1.5,1.8,1.5,0.5,0.7,7.6
Arizona,0.6,0.4,0.3,1.3,1.6,1.3,0.4,0.6,6.5
Maryland,0.5,0.35,0.25,1.1,1.4,1.1,0.35,0.5,5.55
Minnesota,0.45,0.3,0.2,1,1.2,1,0.3,0.45,4.9
Ohio,0.4,0.25,0.18,0.9,1.1,0.9,0.25,0.4,4.38
Colorado,0.35,0.22,0.15,0.8,1,0.8,0.22,0.35,3.89
Tennessee,0.3,0.2,0.13,0.7,0.9,0.7,0.2,0.3,3.43
Indiana,0.28,0.18,0.12,0.65,0.85,0.65,0.18,0.28,3.19
Missouri,0.25,0.16,0.1,0.6,0.8,0.6,0.16,0.25,2.92
Connecticut,0.22,0.14,0.09,0.55,0.75,0.55,0.14,0.22,2.66
South Carolina,0.2,0.13,0.08,0.5,0.7,0.5,0.13,0.2,2.44
Oregon,0.18,0.12,0.07,0.45,0.65,0.45,0.12,0.18,2.22
Kentucky,0.16,0.11,0.06,0.4,0.6,0.4,0.11,0.16,2
Oklahoma,0.14,0.1,0.05,0.35,0.55,0.35,0.1,0.14,1.83
Nevada,0.12,0.09,0.04,0.3,0.5,0.3,0.09,0.12,1.66
Louisiana,0.1,0.08,0.03,0.25,0.45,0.25,0.08,0.1,1.54
Wisconsin,0.09,0.07,0.025,0.22,0.4,0.22,0.07,0.09,1.395
New Mexico,0.08,0.06,0.02,0.2,0.35,0.2,0.06,0.08,1.25
Nebraska,0.07,0.05,0.015,0.18,0.32,0.18,0.05,0.07,1.135
Arkansas,0.06,0.04,0.01,0.16,0.3,0.16,0.04,0.06,1.03
Kansas,0.05,0.035,0.008,0.14,0.28,0.14,0.035,0.05,0.938
Utah,0.045,0.03,0.006,0.12,0.25,0.12,0.03,0.045,0.846
Iowa,0.04,0.025,0.004,0.1,0.22,0.1,0.025,0.04,0.754
Mississippi,0.035,0.02,0.002,0.08,0.2,0.08,0.02,0.035,0.652
West Virginia,0.03,0.015,0.001,0.06,0.18,0.06,0.015,0.03,0.591
Idaho,0.025,0.01,0.0005,0.04,0.15,0.04,0.01,0.025,0.491
New Hampshire,0.02,0.008,0.0003,0.03,0.12,0.03,0.008,0.02,0.436
Maine,0.018,0.006,0.0002,0.025,0.1,0.025,0.006,0.018,0.398
Montana,0.015,0.004,0.0001,0.02,0.08,0.02,0.004,0.015,0.358
South Dakota,0.012,0.002,0.00005,0.015,0.06,0.015,0.002,0.012,0.316
Delaware,0.01,0.001,0.00001,0.01,0.05,0.01,0.001,0.01,0.291
North Dakota,0.008,0.0005,0.000005,0.008,0.04,0.008,0.0005,0.008,0.265
Alaska,0.006,0.0002,0.000001,0.006,0.03,0.006,0.0002,0.006,0.234
Vermont,0.004,0.0001,0.0000005,0.004,0.02,0.004,0.0001,0.004,0.206
Wyoming,0.002,0.00005,0.0000001,0.002,0.01,0.002,0.00005,0.002,0.176
Rhode Island,0.001,0.00001,0.00000001,0.001,0.005,0.001,0.00001,0.001,0.15
District of Columbia,0.05,0.04,0.02,0.15,0.3,0.3,0.04,0.05,0.95
